areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
E40000003,London,nhsRegion,2023-12-08,,166918,637,67
E40000003,London,nhsRegion,2023-12-07,,166851,581,74
E40000003,London,nhsRegion,2023-12-06,,166777,547,95
E40000003,London,nhsRegion,2023-12-05,,166682,582,71
E40000003,London,nhsRegion,2023-12-04,,166611,558,80
E40000003,London,nhsRegion,2023-12-03,,166531,559,66
E40000003,London,nhsRegion,2023-12-02,,166465,563,40
E40000003,London,nhsRegion,2023-12-01,,166425,538,49
E40000003,London,nhsRegion,2023-11-30,,166376,509,76
E40000003,London,nhsRegion,2023-11-29,,166300,528,50
E40000003,London,nhsRegion,2023-11-28,,166250,521,61
E40000003,London,nhsRegion,2023-11-27,,166189,494,70
E40000003,London,nhsRegion,2023-11-26,,166119,489,41
E40000003,London,nhsRegion,2023-11-25,,166078,485,40
E40000003,London,nhsRegion,2023-11-24,,166038,483,45
E40000003,London,nhsRegion,2023-11-23,,165993,504,54
E40000003,London,nhsRegion,2023-11-22,,165939,498,55
E40000003,London,nhsRegion,2023-11-21,,165884,501,60
E40000003,London,nhsRegion,2023-11-20,,165824,508,53
E40000003,London,nhsRegion,2023-11-19,,165771,491,45
E40000003,London,nhsRegion,2023-11-18,,165726,491,48
E40000003,London,nhsRegion,2023-11-17,,165678,505,56
E40000003,London,nhsRegion,2023-11-16,,165622,495,52
E40000003,London,nhsRegion,2023-11-15,,165570,495,54
E40000003,London,nhsRegion,2023-11-14,,165516,457,46
E40000003,London,nhsRegion,2023-11-13,,165470,500,47
E40000003,London,nhsRegion,2023-11-12,,165423,483,54
E40000003,London,nhsRegion,2023-11-11,,165369,462,43
E40000003,London,nhsRegion,2023-11-10,,165326,482,40
E40000003,London,nhsRegion,2023-11-09,,165286,486,51
E40000003,London,nhsRegion,2023-11-08,,165235,526,45
E40000003,London,nhsRegion,2023-11-07,,165190,495,65
E40000003,London,nhsRegion,2023-11-06,,165125,519,48
E40000003,London,nhsRegion,2023-11-05,,165077,489,57
E40000003,London,nhsRegion,2023-11-04,,165020,494,55
E40000003,London,nhsRegion,2023-11-03,,164965,512,46
E40000003,London,nhsRegion,2023-11-02,,164919,560,55
E40000003,London,nhsRegion,2023-11-01,,164864,555,46
E40000003,London,nhsRegion,2023-10-31,,164818,550,54
E40000003,London,nhsRegion,2023-10-30,,164764,541,75
E40000003,London,nhsRegion,2023-10-29,,164689,551,49
E40000003,London,nhsRegion,2023-10-28,,164640,529,39
E40000003,London,nhsRegion,2023-10-27,,164601,516,66
E40000003,London,nhsRegion,2023-10-26,,164535,533,47
E40000003,London,nhsRegion,2023-10-25,,164488,555,51
E40000003,London,nhsRegion,2023-10-24,,164437,565,51
E40000003,London,nhsRegion,2023-10-23,,164386,565,52
E40000003,London,nhsRegion,2023-10-22,,164334,567,57
E40000003,London,nhsRegion,2023-10-21,,164277,567,53
E40000003,London,nhsRegion,2023-10-20,,164224,567,57
E40000003,London,nhsRegion,2023-10-19,,164167,585,73
E40000003,London,nhsRegion,2023-10-18,,164094,590,70
E40000003,London,nhsRegion,2023-10-17,,164024,615,68
E40000003,London,nhsRegion,2023-10-16,,163956,606,51
E40000003,London,nhsRegion,2023-10-15,,163905,605,49
E40000003,London,nhsRegion,2023-10-14,,163856,594,49
E40000003,London,nhsRegion,2023-10-13,,163807,594,55
E40000003,London,nhsRegion,2023-10-12,,163752,587,78
E40000003,London,nhsRegion,2023-10-11,,163674,577,85
E40000003,London,nhsRegion,2023-10-10,,163589,567,77
E40000003,London,nhsRegion,2023-10-09,,163512,555,65
E40000003,London,nhsRegion,2023-10-08,,163447,529,64
E40000003,London,nhsRegion,2023-10-07,,163383,532,54
E40000003,London,nhsRegion,2023-10-06,,163329,540,51
E40000003,London,nhsRegion,2023-10-05,,163278,528,61
E40000003,London,nhsRegion,2023-10-04,,163217,556,60
E40000003,London,nhsRegion,2023-10-03,,163157,551,72
E40000003,London,nhsRegion,2023-10-02,,163085,532,77
E40000003,London,nhsRegion,2023-10-01,,163008,522,59
E40000003,London,nhsRegion,2023-09-30,,162949,514,46
E40000003,London,nhsRegion,2023-09-29,,162903,516,38
E40000003,London,nhsRegion,2023-09-28,,162865,521,54
E40000003,London,nhsRegion,2023-09-27,,162811,526,52
E40000003,London,nhsRegion,2023-09-26,,162759,525,73
E40000003,London,nhsRegion,2023-09-25,,162686,516,72
E40000003,London,nhsRegion,2023-09-24,,162614,510,61
E40000003,London,nhsRegion,2023-09-23,,162553,505,43
E40000003,London,nhsRegion,2023-09-22,,162510,517,39
E40000003,London,nhsRegion,2023-09-21,,162471,531,68
E40000003,London,nhsRegion,2023-09-20,,162403,512,65
E40000003,London,nhsRegion,2023-09-19,,162338,536,87
E40000003,London,nhsRegion,2023-09-18,,162251,547,61
E40000003,London,nhsRegion,2023-09-17,,162190,530,53
E40000003,London,nhsRegion,2023-09-16,,162137,538,53
E40000003,London,nhsRegion,2023-09-15,,162084,545,49
E40000003,London,nhsRegion,2023-09-14,,162035,584,50
E40000003,London,nhsRegion,2023-09-13,,161985,569,49
E40000003,London,nhsRegion,2023-09-12,,161936,570,86
E40000003,London,nhsRegion,2023-09-11,,161850,577,54
E40000003,London,nhsRegion,2023-09-10,,161796,556,64
E40000003,London,nhsRegion,2023-09-09,,161732,546,60
E40000003,London,nhsRegion,2023-09-08,,161672,518,68
E40000003,London,nhsRegion,2023-09-07,,161604,520,61
E40000003,London,nhsRegion,2023-09-06,,161543,493,63
E40000003,London,nhsRegion,2023-09-05,,161480,491,70
E40000003,London,nhsRegion,2023-09-04,,161410,478,70
E40000003,London,nhsRegion,2023-09-03,,161340,464,54
E40000003,London,nhsRegion,2023-09-02,,161286,449,47
E40000003,London,nhsRegion,2023-09-01,,161239,460,49
E40000003,London,nhsRegion,2023-08-31,,161190,450,53
E40000003,London,nhsRegion,2023-08-30,,161137,456,59
E40000003,London,nhsRegion,2023-08-29,,161078,487,44
E40000003,London,nhsRegion,2023-08-28,,161034,476,41
E40000003,London,nhsRegion,2023-08-27,,160993,463,37
E40000003,London,nhsRegion,2023-08-26,,160956,454,32
E40000003,London,nhsRegion,2023-08-25,,160924,459,45
E40000003,London,nhsRegion,2023-08-24,,160879,457,53
E40000003,London,nhsRegion,2023-08-23,,160826,428,47
E40000003,London,nhsRegion,2023-08-22,,160779,449,42
E40000003,London,nhsRegion,2023-08-21,,160737,462,47
E40000003,London,nhsRegion,2023-08-20,,160690,450,39
E40000003,London,nhsRegion,2023-08-19,,160651,433,28
E40000003,London,nhsRegion,2023-08-18,,160623,425,41
E40000003,London,nhsRegion,2023-08-17,,160582,424,47
E40000003,London,nhsRegion,2023-08-16,,160535,438,48
E40000003,London,nhsRegion,2023-08-15,,160487,428,39
E40000003,London,nhsRegion,2023-08-14,,160448,405,59
E40000003,London,nhsRegion,2023-08-13,,160389,366,53
E40000003,London,nhsRegion,2023-08-12,,160336,360,32
E40000003,London,nhsRegion,2023-08-11,,160304,354,39
E40000003,London,nhsRegion,2023-08-10,,160265,342,37
E40000003,London,nhsRegion,2023-08-09,,160228,352,51
E40000003,London,nhsRegion,2023-08-08,,160177,323,33
E40000003,London,nhsRegion,2023-08-07,,160144,309,46
E40000003,London,nhsRegion,2023-08-06,,160098,306,26
E40000003,London,nhsRegion,2023-08-05,,160072,298,11
E40000003,London,nhsRegion,2023-08-04,,160061,290,35
E40000003,London,nhsRegion,2023-08-03,,160026,288,32
E40000003,London,nhsRegion,2023-08-02,,159994,287,48
E40000003,London,nhsRegion,2023-08-01,,159946,290,27
E40000003,London,nhsRegion,2023-07-31,,159919,292,33
E40000003,London,nhsRegion,2023-07-30,,159886,266,24
E40000003,London,nhsRegion,2023-07-29,,159862,259,33
E40000003,London,nhsRegion,2023-07-28,,159829,256,22
E40000003,London,nhsRegion,2023-07-27,,159807,249,28
E40000003,London,nhsRegion,2023-07-26,,159779,257,30
E40000003,London,nhsRegion,2023-07-25,,159749,257,20
E40000003,London,nhsRegion,2023-07-24,,159729,250,27
E40000003,London,nhsRegion,2023-07-23,,159702,226,23
E40000003,London,nhsRegion,2023-07-22,,159679,247,15
E40000003,London,nhsRegion,2023-07-21,,159664,248,13
E40000003,London,nhsRegion,2023-07-20,,159651,235,36
E40000003,London,nhsRegion,2023-07-19,,159615,248,24
E40000003,London,nhsRegion,2023-07-18,,159591,253,24
E40000003,London,nhsRegion,2023-07-17,,159567,259,23
E40000003,London,nhsRegion,2023-07-16,,159544,249,29
E40000003,London,nhsRegion,2023-07-15,,159515,244,25
E40000003,London,nhsRegion,2023-07-14,,159490,254,16
E40000003,London,nhsRegion,2023-07-13,,159474,257,27
E40000003,London,nhsRegion,2023-07-12,,159447,250,20
E40000003,London,nhsRegion,2023-07-11,,159427,247,31
E40000003,London,nhsRegion,2023-07-10,,159396,242,31
E40000003,London,nhsRegion,2023-07-09,,159365,251,18
E40000003,London,nhsRegion,2023-07-08,,159347,253,16
E40000003,London,nhsRegion,2023-07-07,,159331,256,18
E40000003,London,nhsRegion,2023-07-06,,159313,254,17
E40000003,London,nhsRegion,2023-07-05,,159296,282,13
E40000003,London,nhsRegion,2023-07-04,,159283,288,24
E40000003,London,nhsRegion,2023-07-03,,159259,283,19
E40000003,London,nhsRegion,2023-07-02,,159240,290,14
E40000003,London,nhsRegion,2023-07-01,,159226,299,12
E40000003,London,nhsRegion,2023-06-30,,159214,318,15
E40000003,London,nhsRegion,2023-06-29,,159199,311,19
E40000003,London,nhsRegion,2023-06-28,,159180,326,27
E40000003,London,nhsRegion,2023-06-27,,159153,328,17
E40000003,London,nhsRegion,2023-06-26,,159136,328,23
E40000003,London,nhsRegion,2023-06-25,,159113,302,25
E40000003,London,nhsRegion,2023-06-24,,159088,328,15
E40000003,London,nhsRegion,2023-06-23,,159073,342,12
E40000003,London,nhsRegion,2023-06-22,,159061,354,21
E40000003,London,nhsRegion,2023-06-21,,159040,366,25
E40000003,London,nhsRegion,2023-06-20,,159015,370,30
E40000003,London,nhsRegion,2023-06-19,,158985,380,36
E40000003,London,nhsRegion,2023-06-18,,158949,378,22
E40000003,London,nhsRegion,2023-06-17,,158927,375,18
E40000003,London,nhsRegion,2023-06-16,,158909,392,22
E40000003,London,nhsRegion,2023-06-15,,158887,395,27
E40000003,London,nhsRegion,2023-06-14,,158860,417,27
E40000003,London,nhsRegion,2023-06-13,,158833,435,38
E40000003,London,nhsRegion,2023-06-12,,158795,453,20
E40000003,London,nhsRegion,2023-06-11,,158775,446,28
E40000003,London,nhsRegion,2023-06-10,,158747,450,31
E40000003,London,nhsRegion,2023-06-09,,158716,469,21
E40000003,London,nhsRegion,2023-06-08,,158695,483,36
E40000003,London,nhsRegion,2023-06-07,,158659,478,49
E40000003,London,nhsRegion,2023-06-06,,158610,476,68
E40000003,London,nhsRegion,2023-06-05,,158542,484,48
E40000003,London,nhsRegion,2023-06-04,,158494,482,36
E40000003,London,nhsRegion,2023-06-03,,158458,477,30
E40000003,London,nhsRegion,2023-06-02,,158428,513,20
E40000003,London,nhsRegion,2023-06-01,,158408,522,42
E40000003,London,nhsRegion,2023-05-31,37,158366,591,44
E40000003,London,nhsRegion,2023-05-30,35,158322,594,44
E40000003,London,nhsRegion,2023-05-29,33,158278,574,37
E40000003,London,nhsRegion,2023-05-28,36,158241,566,39
E40000003,London,nhsRegion,2023-05-27,34,158202,601,26
E40000003,London,nhsRegion,2023-05-26,32,158176,618,45
E40000003,London,nhsRegion,2023-05-25,30,158131,619,49
E40000003,London,nhsRegion,2023-05-24,28,158082,630,30
E40000003,London,nhsRegion,2023-05-23,29,158052,637,62
E40000003,London,nhsRegion,2023-05-22,28,157990,600,40
E40000003,London,nhsRegion,2023-05-21,32,157950,638,36
E40000003,London,nhsRegion,2023-05-20,34,157914,629,34
E40000003,London,nhsRegion,2023-05-19,35,157880,649,42
E40000003,London,nhsRegion,2023-05-18,36,157838,661,44
E40000003,London,nhsRegion,2023-05-17,39,157794,667,50
E40000003,London,nhsRegion,2023-05-16,42,157744,694,58
E40000003,London,nhsRegion,2023-05-15,36,157686,676,49
E40000003,London,nhsRegion,2023-05-14,38,157637,680,42
E40000003,London,nhsRegion,2023-05-13,39,157595,688,32
E40000003,London,nhsRegion,2023-05-12,39,157563,722,55
E40000003,London,nhsRegion,2023-05-11,38,157508,755,42
E40000003,London,nhsRegion,2023-05-10,47,157466,769,60
E40000003,London,nhsRegion,2023-05-09,46,157406,799,48
E40000003,London,nhsRegion,2023-05-08,49,157358,789,39
E40000003,London,nhsRegion,2023-05-07,50,157319,773,38
E40000003,London,nhsRegion,2023-05-06,51,157281,790,50
E40000003,London,nhsRegion,2023-05-05,47,157231,799,51
E40000003,London,nhsRegion,2023-05-04,48,157180,795,58
E40000003,London,nhsRegion,2023-05-03,54,157122,846,60
E40000003,London,nhsRegion,2023-05-02,53,157062,860,46
E40000003,London,nhsRegion,2023-05-01,50,157016,843,58
E40000003,London,nhsRegion,2023-04-30,54,156958,825,49
E40000003,London,nhsRegion,2023-04-29,40,156909,727,52
E40000003,London,nhsRegion,2023-04-28,43,156857,900,44
E40000003,London,nhsRegion,2023-04-27,47,156813,909,59
E40000003,London,nhsRegion,2023-04-26,48,156754,911,60
E40000003,London,nhsRegion,2023-04-25,49,156694,912,59
E40000003,London,nhsRegion,2023-04-24,54,156635,918,59
E40000003,London,nhsRegion,2023-04-23,65,156576,877,64
E40000003,London,nhsRegion,2023-04-22,55,156512,887,48
E40000003,London,nhsRegion,2023-04-21,58,156464,931,49
E40000003,London,nhsRegion,2023-04-20,51,156415,967,61
E40000003,London,nhsRegion,2023-04-19,57,156354,978,70
E40000003,London,nhsRegion,2023-04-18,55,156284,968,66
E40000003,London,nhsRegion,2023-04-17,57,156218,974,81
E40000003,London,nhsRegion,2023-04-16,69,156137,949,58
E40000003,London,nhsRegion,2023-04-15,58,156079,971,59
E40000003,London,nhsRegion,2023-04-14,60,156020,1009,52
E40000003,London,nhsRegion,2023-04-13,59,155968,1028,68
E40000003,London,nhsRegion,2023-04-12,56,155900,1040,66
E40000003,London,nhsRegion,2023-04-11,55,155834,1041,68
E40000003,London,nhsRegion,2023-04-10,55,155766,1566,57
E40000003,London,nhsRegion,2023-04-09,49,155709,979,51
E40000003,London,nhsRegion,2023-04-08,53,155658,1031,52
E40000003,London,nhsRegion,2023-04-07,53,155606,1075,52
E40000003,London,nhsRegion,2023-04-06,42,155554,1133,52
E40000003,London,nhsRegion,2023-04-05,56,155502,1190,65
E40000003,London,nhsRegion,2023-04-04,63,155437,1229,71
E40000003,London,nhsRegion,2023-04-03,67,155366,1210,95
E40000003,London,nhsRegion,2023-04-02,68,155271,1202,84
E40000003,London,nhsRegion,2023-04-01,71,155187,1225,65
E40000003,London,nhsRegion,2023-03-31,76,155122,1258,60
E40000003,London,nhsRegion,2023-03-30,72,155062,1256,93
E40000003,London,nhsRegion,2023-03-29,69,154969,1309,90
E40000003,London,nhsRegion,2023-03-28,72,154879,1316,114
E40000003,London,nhsRegion,2023-03-27,69,154765,1323,93
E40000003,London,nhsRegion,2023-03-26,67,154672,1305,89
E40000003,London,nhsRegion,2023-03-25,69,154583,1312,67
E40000003,London,nhsRegion,2023-03-24,66,154516,1339,97
E40000003,London,nhsRegion,2023-03-23,67,154419,1360,123
E40000003,London,nhsRegion,2023-03-22,70,154296,1370,106
E40000003,London,nhsRegion,2023-03-21,66,154190,1436,130
E40000003,London,nhsRegion,2023-03-20,65,154060,1431,125
E40000003,London,nhsRegion,2023-03-19,68,153935,1417,117
E40000003,London,nhsRegion,2023-03-18,70,153818,1372,87
E40000003,London,nhsRegion,2023-03-17,66,153731,1418,120
E40000003,London,nhsRegion,2023-03-16,67,153611,1376,119
E40000003,London,nhsRegion,2023-03-15,72,153492,1426,127
E40000003,London,nhsRegion,2023-03-14,77,153365,1449,156
E40000003,London,nhsRegion,2023-03-13,69,153209,1428,146
E40000003,London,nhsRegion,2023-03-12,76,153063,1349,125
E40000003,London,nhsRegion,2023-03-11,66,152938,1364,120
E40000003,London,nhsRegion,2023-03-10,72,152818,1370,119
E40000003,London,nhsRegion,2023-03-09,68,152699,1320,135
E40000003,London,nhsRegion,2023-03-08,71,152564,1379,135
E40000003,London,nhsRegion,2023-03-07,70,152429,1338,144
E40000003,London,nhsRegion,2023-03-06,67,152285,1337,157
E40000003,London,nhsRegion,2023-03-05,63,152128,1289,107
E40000003,London,nhsRegion,2023-03-04,54,152021,1223,99
E40000003,London,nhsRegion,2023-03-03,74,151922,1281,92
E40000003,London,nhsRegion,2023-03-02,79,151830,1301,123
E40000003,London,nhsRegion,2023-03-01,76,151707,1251,128
E40000003,London,nhsRegion,2023-02-28,67,151579,1264,138
E40000003,London,nhsRegion,2023-02-27,69,151441,1273,122
E40000003,London,nhsRegion,2023-02-26,71,151319,1239,103
E40000003,London,nhsRegion,2023-02-25,67,151216,1255,93
E40000003,London,nhsRegion,2023-02-24,66,151123,1265,98
E40000003,London,nhsRegion,2023-02-23,65,151025,1289,115
E40000003,London,nhsRegion,2023-02-22,70,150910,1264,131
E40000003,London,nhsRegion,2023-02-21,64,150779,1204,129
E40000003,London,nhsRegion,2023-02-20,66,150650,1206,143
E40000003,London,nhsRegion,2023-02-19,63,150507,1166,118
E40000003,London,nhsRegion,2023-02-18,65,150389,1118,100
E40000003,London,nhsRegion,2023-02-17,56,150289,1122,105
E40000003,London,nhsRegion,2023-02-16,52,150184,1123,119
E40000003,London,nhsRegion,2023-02-15,55,150065,1104,113
E40000003,London,nhsRegion,2023-02-14,59,149952,1061,112
E40000003,London,nhsRegion,2023-02-13,52,149840,1054,120
E40000003,London,nhsRegion,2023-02-12,50,149720,1019,86
E40000003,London,nhsRegion,2023-02-11,54,149634,1008,83
E40000003,London,nhsRegion,2023-02-10,53,149551,1027,76
E40000003,London,nhsRegion,2023-02-09,50,149475,1023,91
E40000003,London,nhsRegion,2023-02-08,48,149384,992,98
E40000003,London,nhsRegion,2023-02-07,49,149286,980,94
E40000003,London,nhsRegion,2023-02-06,50,149192,993,94
E40000003,London,nhsRegion,2023-02-05,57,149098,961,79
E40000003,London,nhsRegion,2023-02-04,54,149019,967,74
E40000003,London,nhsRegion,2023-02-03,60,148945,993,72
E40000003,London,nhsRegion,2023-02-02,64,148873,972,98
E40000003,London,nhsRegion,2023-02-01,57,148775,948,105
E40000003,London,nhsRegion,2023-01-31,62,148670,922,87
E40000003,London,nhsRegion,2023-01-30,65,148583,947,81
E40000003,London,nhsRegion,2023-01-29,68,148502,942,58
E40000003,London,nhsRegion,2023-01-28,64,148444,929,54
E40000003,London,nhsRegion,2023-01-27,58,148390,943,63
E40000003,London,nhsRegion,2023-01-26,60,148327,937,83
E40000003,London,nhsRegion,2023-01-25,58,148244,950,96
E40000003,London,nhsRegion,2023-01-24,59,148148,955,74
E40000003,London,nhsRegion,2023-01-23,60,148074,967,63
E40000003,London,nhsRegion,2023-01-22,59,148011,977,38
E40000003,London,nhsRegion,2023-01-21,61,147973,993,34
E40000003,London,nhsRegion,2023-01-20,61,147939,1018,50
E40000003,London,nhsRegion,2023-01-19,61,147889,1047,70
E40000003,London,nhsRegion,2023-01-18,63,147819,1079,76
E40000003,London,nhsRegion,2023-01-17,66,147743,1123,59
E40000003,London,nhsRegion,2023-01-16,69,147684,1159,60
E40000003,London,nhsRegion,2023-01-15,65,147624,1117,53
E40000003,London,nhsRegion,2023-01-14,68,147571,1143,50
E40000003,London,nhsRegion,2023-01-13,74,147521,1233,52
E40000003,London,nhsRegion,2023-01-12,76,147469,1299,66
