areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
E40000010,North West,nhsRegion,2023-12-08,,163551,295,27
E40000010,North West,nhsRegion,2023-12-07,,163524,271,36
E40000010,North West,nhsRegion,2023-12-06,,163488,258,45
E40000010,North West,nhsRegion,2023-12-05,,163443,252,46
E40000010,North West,nhsRegion,2023-12-04,,163397,238,45
E40000010,North West,nhsRegion,2023-12-03,,163352,219,37
E40000010,North West,nhsRegion,2023-12-02,,163315,213,33
E40000010,North West,nhsRegion,2023-12-01,,163282,208,27
E40000010,North West,nhsRegion,2023-11-30,,163255,203,27
E40000010,North West,nhsRegion,2023-11-29,,163228,204,25
E40000010,North West,nhsRegion,2023-11-28,,163203,209,43
E40000010,North West,nhsRegion,2023-11-27,,163160,213,27
E40000010,North West,nhsRegion,2023-11-26,,163133,226,24
E40000010,North West,nhsRegion,2023-11-25,,163109,227,21
E40000010,North West,nhsRegion,2023-11-24,,163088,237,22
E40000010,North West,nhsRegion,2023-11-23,,163066,227,33
E40000010,North West,nhsRegion,2023-11-22,,163033,232,34
E40000010,North West,nhsRegion,2023-11-21,,162999,259,27
E40000010,North West,nhsRegion,2023-11-20,,162972,266,26
E40000010,North West,nhsRegion,2023-11-19,,162946,292,28
E40000010,North West,nhsRegion,2023-11-18,,162918,283,25
E40000010,North West,nhsRegion,2023-11-17,,162893,296,36
E40000010,North West,nhsRegion,2023-11-16,,162857,304,29
E40000010,North West,nhsRegion,2023-11-15,,162828,309,30
E40000010,North West,nhsRegion,2023-11-14,,162798,316,39
E40000010,North West,nhsRegion,2023-11-13,,162759,329,44
E40000010,North West,nhsRegion,2023-11-12,,162715,326,37
E40000010,North West,nhsRegion,2023-11-11,,162678,336,27
E40000010,North West,nhsRegion,2023-11-10,,162651,318,29
E40000010,North West,nhsRegion,2023-11-09,,162622,310,55
E40000010,North West,nhsRegion,2023-11-08,,162567,332,43
E40000010,North West,nhsRegion,2023-11-07,,162524,344,43
E40000010,North West,nhsRegion,2023-11-06,,162481,351,56
E40000010,North West,nhsRegion,2023-11-05,,162425,398,42
E40000010,North West,nhsRegion,2023-11-04,,162383,390,39
E40000010,North West,nhsRegion,2023-11-03,,162344,384,45
