areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
E40000007,East of England,nhsRegion,2023-12-08,,112208,326,23
E40000007,East of England,nhsRegion,2023-12-07,,112185,323,34
E40000007,East of England,nhsRegion,2023-12-06,,112151,315,51
E40000007,East of England,nhsRegion,2023-12-05,,112100,312,53
E40000007,East of England,nhsRegion,2023-12-04,,112047,286,61
E40000007,East of England,nhsRegion,2023-12-03,,111986,271,36
E40000007,East of England,nhsRegion,2023-12-02,,111950,302,30
E40000007,East of England,nhsRegion,2023-12-01,,111920,316,28
E40000007,East of England,nhsRegion,2023-11-30,,111892,309,36
E40000007,East of England,nhsRegion,2023-11-29,,111856,320,36
E40000007,East of England,nhsRegion,2023-11-28,,111820,309,46
E40000007,East of England,nhsRegion,2023-11-27,,111774,289,49
E40000007,East of England,nhsRegion,2023-11-26,,111725,262,61
E40000007,East of England,nhsRegion,2023-11-25,,111664,253,37
E40000007,East of England,nhsRegion,2023-11-24,,111627,256,18
E40000007,East of England,nhsRegion,2023-11-23,,111609,268,39
E40000007,East of England,nhsRegion,2023-11-22,,111570,275,36
E40000007,East of England,nhsRegion,2023-11-21,,111534,265,35
E40000007,East of England,nhsRegion,2023-11-20,,111499,276,31
E40000007,East of England,nhsRegion,2023-11-19,,111468,277,41
E40000007,East of England,nhsRegion,2023-11-18,,111427,280,27
E40000007,East of England,nhsRegion,2023-11-17,,111400,283,24
E40000007,East of England,nhsRegion,2023-11-16,,111376,275,40
E40000007,East of England,nhsRegion,2023-11-15,,111336,255,38
E40000007,East of England,nhsRegion,2023-11-14,,111298,269,42
E40000007,East of England,nhsRegion,2023-11-13,,111256,292,39
E40000007,East of England,nhsRegion,2023-11-12,,111217,281,28
E40000007,East of England,nhsRegion,2023-11-11,,111189,299,38
E40000007,East of England,nhsRegion,2023-11-10,,111151,291,23
E40000007,East of England,nhsRegion,2023-11-09,,111128,279,51
E40000007,East of England,nhsRegion,2023-11-08,,111077,296,54
E40000007,East of England,nhsRegion,2023-11-07,,111023,301,40
E40000007,East of England,nhsRegion,2023-11-06,,110983,326,52
E40000007,East of England,nhsRegion,2023-11-05,,110931,319,40
E40000007,East of England,nhsRegion,2023-11-04,,110891,324,45
E40000007,East of England,nhsRegion,2023-11-03,,110846,318,35
E40000007,East of England,nhsRegion,2023-11-02,,110811,329,45
E40000007,East of England,nhsRegion,2023-11-01,,110766,342,47
