date,New Confirmed Cases,New Admissions,Critical Cases,New Deaths
2021-12-25,109174.766,1105.3192,734.31555,98.837776
2021-12-26,109785.305,1130.1995,725.57306,100.899506
2021-12-27,110240.51,1150.4469,717.3614,103.45296
2021-12-28,110586.305,1166.854,709.80884,106.381004
2021-12-29,110854.23,1180.2598,702.9829,109.57673
2021-12-30,111065.625,1191.4005,696.9157,112.94781
2021-12-31,111235.3,1200.8805,691.61816,116.42121
