,I,H,C,D
NRMSE,0.012039368972182274,0.012039368972182274,0.012039368972182274,0.012039368972182274
MASE,33.686565362065416,33.686565362065416,33.686565362065416,33.686565362065416
MAE,9.29810905456543,9.29810905456543,9.29810905456543,9.29810905456543
MAPE,2414136000512.0,2414136000512.0,2414136000512.0,2414136000512.0
