date,susceptible,active_cases,recovered,cumulative_deceased
2020-05-01,-94.35177304781973,-0.027646686881780624,0.46045105738033143,25843.995837569237
2020-05-02,58386.336747430265,128.94924262538552,109.5176306905092,26100.832444787025
2020-05-03,-143187.62524075434,-77.85039746761322,-65.02091576132392,26303.498369812965
2020-05-04,-51211.32749558054,142.42295153066516,-10.933648161390531,26448.01368224621
2020-05-05,128375.02240886353,103.80679431185126,-84.69017239407238,26616.448221206665
2020-05-06,166330.39494368806,38.51684631034732,-305.35671622718553,26869.67992091179
2020-05-07,129472.16150684003,33.63733136281371,-364.71978082328235,27173.52322244644
2020-05-08,55483.74258895032,65.65177714824677,-194.14916221212064,27498.43820333481
2020-05-09,-35108.1383669395,108.16294327750802,92.72742138430476,27828.669295310974
2020-05-10,-118863.89453318063,148.2526438497007,354.9481836051148,28156.447543621063
2020-05-11,-171143.8470826177,179.59312855824828,491.11741138941477,28478.3796377182
2020-05-12,-173432.3206674643,196.4303784929216,451.9794896288243,28793.78261566162
2020-05-13,-119555.58164730854,191.55921601876616,244.60289083234966,29103.732243537903
2020-05-14,-19256.362830237485,159.0276686064899,-61.09145466051996,29409.93778514862
2020-05-15,98150.44840999693,100.92619329318404,-327.90272054442073,29712.911017417908
2020-05-16,178607.5936112143,36.67813282087445,-379.02282271534204,30009.10700416565
2020-05-17,146004.20811441168,5.450907651335001,-106.74708465739553,30287.70536518097
2020-05-18,-26873.939238538034,40.29508789256215,301.79906543537174,30531.425627708435
2020-05-19,-75253.30608529598,111.37229764834046,129.99761567763719,30736.473271369934
2020-05-20,462790.6510188263,176.6406962685287,-1098.1869564748235,30965.555032730103
2020-05-21,-364902.35457935836,-77.21544244140387,734.2283571725046,31197.207317352295
2020-05-22,55973850.52828491,45265.03339886665,120552.42129074676,31498.396604537964
2020-05-23,56617455.97886765,47483.90470266342,105583.4808286088,31063.216165542603
2020-05-24,55409990.153721154,39195.60504794121,125165.4731532676,31718.48719215393
2020-05-25,55568225.89633006,37641.87661373615,125498.42787382433,31944.507667541504
2020-05-26,55839845.57206792,36695.887506484985,125852.36201981136,32253.425659179688
2020-05-27,55991992.75827241,35719.86958694458,127774.65539380483,32520.88551712036
2020-05-28,56074436.81628108,34691.35804271698,130476.81341706855,32737.89768409729
2020-05-29,56107478.49443412,33666.9973436594,133318.89671530042,32921.6084651947
2020-05-30,56100405.76041913,32690.765600800514,135977.57059784446,33085.66093444824
2020-05-31,56064294.78259921,31781.786637187004,138341.71636049237,33237.31566429138
2020-06-01,56012390.25627601,30939.015391349792,140416.9936314055,33379.774574279785
2020-06-02,55957626.610589206,30148.005425333977,142264.8956754293,33514.4317150116
2020-06-03,55910763.07534933,29386.516441226006,143967.0522594963,33642.18326187134
2020-06-04,55878785.64349383,28629.434890270233,145604.46430296559,33764.0133266449
2020-06-05,55864770.28708017,27852.459752321243,147247.2282406773,33881.127155303955
2020-06-06,55868279.96452534,27034.96509552002,148948.59542034354,33994.84702682495
2020-06-07,55886155.29888964,26162.028725028038,150743.71440740142,34106.43832015991
2020-06-08,55913408.67821437,25225.402406334877,152650.3401110002,34216.92846870422
2020-06-09,55944598.76798141,24223.605412960052,154670.27879544668,34327.01773071289
2020-06-10,55974471.060608864,23161.130707383156,156793.2414440598,34436.99189949036
2020-06-11,55998825.28622651,22047.373151659966,158999.78730100393,34546.78566932678
2020-06-12,56014552.11082399,20895.076615571976,161264.62866598368,34656.03630256653
2020-06-13,56019836.64416349,19718.759702444077,163560.13638497252,34764.1534614563
2020-06-14,56014131.75021744,18533.41677248478,165858.26653214011,34870.44400024414
2020-06-15,55997731.01417136,17353.430116653442,168132.7011675494,34974.17015838623
2020-06-16,55971545.217339456,16191.693281054497,170360.41376622234,35074.66077423096
2020-06-17,55937002.25130588,15059.228857755661,172522.05723047256,35171.327449798584
2020-06-18,55895636.76590407,13964.859731435776,174602.35190223798,35263.69429397583
2020-06-19,55849100.17780262,12915.444285035133,176589.84472783975,35351.40826797485
2020-06-20,55798883.76629621,11915.667922019958,178477.32402978625,35434.27927398682
2020-06-21,55746335.35428202,10968.603684395552,180260.187179029,35512.18122673035
2020-06-22,55692595.92054927,10075.759026557207,181936.58777205434,35585.11541938782
2020-06-23,55638709.69422376,9237.48675698042,183507.06099828653,35653.16590881348
2020-06-24,55585487.37076098,8453.078585922718,184973.58705859527,35716.44714164734
2020-06-25,55533519.45672727,7721.214822590351,186339.68482344493,35775.16990661621
2020-06-26,55483249.66609621,7039.928960651159,187609.39497298855,35829.538526535034
2020-06-27,55434954.90307689,6407.021960914135,188787.44055389508,35879.79288673401
2020-06-28,55389058.86447114,5820.006122708321,189878.97276437283,35926.156061172485
2020-06-29,55345514.8435449,5276.224357202649,190889.30335945744,35968.9093170166
2020-06-30,55304469.63289094,4772.972133517265,191823.66381577082,36008.293186187744
2020-07-01,55265956.59446216,4307.758075892925,192686.8173191888,36044.53009605408
2020-07-02,55229882.31479043,3877.8896810114384,193484.41011813708,36077.876096725464
2020-07-03,55196186.74236053,3480.921344667673,194220.73710774526,36108.53227806091
2020-07-04,55164853.19619602,3114.45256601274,194900.45443600416,36136.71848106384
2020-07-05,55135724.875118256,2776.245216280222,195527.79009936537,36162.62480354309
2020-07-06,55108728.38283086,2464.1891265958548,196106.95871454477,36186.436170578
2020-07-07,55083706.91815519,2176.3067653626204,196641.17141808782,36208.32134246826
2020-07-08,55060563.73142785,1910.7634282782674,197134.40199146952,36228.429681777954
2020-07-09,55039205.4091807,1665.7895603328943,197589.76791308608,36246.920249938965
2020-07-10,55019535.20175034,1439.8043724149466,198010.07892741475,36263.90749359131
2020-07-11,55001292.88590413,1231.3832666650414,198398.11801946163,36279.52590370178
2020-07-12,54984558.53032905,1039.0844391286373,198756.38719978504,36293.88863372803
2020-07-13,54969098.60135478,861.6870922967792,199087.1877829092,36307.0984916687
2020-07-14,54954916.43517661,697.9952355064452,199392.9281212432,36319.24729347229
2020-07-15,54941855.230615914,546.999889973551,199675.173643853,36330.41974258423
2020-07-16,54929834.918985724,407.62859811633825,199936.11862737793,36340.69860267639
2020-07-17,54918782.10398966,279.0213057510555,200177.12780484982,36350.1595249176
2020-07-18,54908613.38074547,160.29565759003162,200400.07433925357,36358.87363433838
2020-07-19,54899345.430229604,50.696673564612865,200606.08212838002,36366.88231277466
2020-07-20,54890754.727357626,-50.47408014908433,200796.6363228815,36374.264444351196
2020-07-21,54882877.97027773,-143.8374428972602,200972.74040292844,36381.058824539185
2020-07-22,54875651.771279395,-230.0727213397622,201135.58516498975,36387.31071472168
2020-07-23,54869042.76840973,-309.7095458135009,201286.2945068564,36393.07572174072
2020-07-24,54862944.20341945,-383.27495738863945,201425.7381113427,36398.3881149292
2020-07-25,54857362.74869913,-451.1994425430894,201554.6920031139,36403.27957725525
2020-07-26,54852271.71468645,-513.9447260051966,201674.03924471993,36407.78890419006
2020-07-27,54847587.69649917,-571.9065479636192,201784.59600003276,36411.93872642517
2020-07-28,54843257.315012634,-625.4599344730377,201886.9509774191,36415.774951934814
2020-07-29,54839360.63891381,-674.9209431260824,201981.4921892115,36419.29434776306
2020-07-30,54835724.18604761,-720.6649340763688,202069.11607769557,36422.54799461365
2020-07-31,54832371.309781075,-762.8840142115951,202150.30431335315,36425.550117492676
2020-08-01,54829358.725434124,-801.9231406822801,202225.5653261372,36428.32076072693
2020-08-02,54826576.33856219,-838.0024846866727,202295.16671075992,36430.87091636658
2020-08-03,54824030.82155585,-871.3171600028872,202359.49647955384,36433.21416282654
2020-08-04,54821658.7867046,-902.1416289061308,202419.3172774485,36435.38864898682
2020-08-05,54819513.61313307,-930.6593117117882,202474.60234497275,36437.393728256226
2020-08-06,54817595.30084127,-957.0025115981698,202525.87349181517,36439.24168586731
2020-08-07,54815790.419189334,-981.3185661956668,202573.25113559622,36440.93834114075
2020-08-08,54814102.30437255,-1003.7793694064021,202617.2035670621,36442.508264541626
2020-08-09,54812594.34410143,-1024.5939001142979,202657.89134304013,36443.95792198181
2020-08-10,54811219.83164191,-1043.8219620287418,202695.64895692043,36445.29571914673
2020-08-11,54809982.10318929,-1061.5950230807066,202730.62358579464,36446.52294921875
